median_rent,renter_occ,all_units,one_br,two_br,three_br,multi_rm,county,GPID,NAME
1025,72.0,353.0,0.0,0.0,32.0,321.0,Adams,9962,"Abbottstown borough, Adams County, Pennsylvania"
719,81.0,274.0,13.0,9.0,15.0,237.0,Adams,9771,"Arendtsville borough, Adams County, Pennsylvania"
939,51.0,243.0,0.0,0.0,12.0,231.0,Adams,10153,"Bendersville borough, Adams County, Pennsylvania"
1087,127.0,1045.0,15.0,6.0,32.0,992.0,Adams,9959,"Berwick township, Adams County, Pennsylvania"
879,184.0,505.0,22.0,11.0,57.0,415.0,Adams,10156,"Biglerville borough, Adams County, Pennsylvania"
783,177.0,755.0,2.0,4.0,34.0,715.0,Adams,9910,"Bonneauville borough, Adams County, Pennsylvania"
950,130.0,1054.0,0.0,0.0,28.0,1026.0,Adams,9441,"Butler township, Adams County, Pennsylvania"
-,39.0,1619.0,0.0,0.0,0.0,1619.0,Adams,9942,"Carroll Valley borough, Adams County, Pennsylvania"
884,500.0,2863.0,19.0,22.0,92.0,2730.0,Adams,9090,"Conewago township, Adams County, Pennsylvania"
831,474.0,2770.0,7.0,44.0,74.0,2645.0,Adams,10039,"Cumberland township, Adams County, Pennsylvania"
896,235.0,701.0,0.0,9.0,45.0,647.0,Adams,9860,"East Berlin borough, Adams County, Pennsylvania"
941,66.0,280.0,0.0,0.0,10.0,270.0,Adams,9941,"Fairfield borough, Adams County, Pennsylvania"
951,355.0,2326.0,91.0,17.0,147.0,2071.0,Adams,9512,"Franklin township, Adams County, Pennsylvania"
942,52.0,405.0,0.0,2.0,6.0,397.0,Adams,9515,"Freedom township, Adams County, Pennsylvania"
757,116.0,1063.0,38.0,0.0,38.0,987.0,Adams,9760,"Germany township, Adams County, Pennsylvania"
891,1603.0,2636.0,131.0,154.0,398.0,1953.0,Adams,10009,"Gettysburg borough, Adams County, Pennsylvania"
1344,65.0,954.0,5.0,0.0,0.0,949.0,Adams,10163,"Hamilton township, Adams County, Pennsylvania"
1036,136.0,989.0,26.0,9.0,47.0,907.0,Adams,10166,"Hamiltonban township, Adams County, Pennsylvania"
909,66.0,453.0,0.0,9.0,7.0,437.0,Adams,9529,"Highland township, Adams County, Pennsylvania"
779,132.0,983.0,0.0,41.0,0.0,942.0,Adams,10128,"Huntington township, Adams County, Pennsylvania"
779,180.0,1131.0,17.0,0.0,8.0,1106.0,Adams,10100,"Latimore township, Adams County, Pennsylvania"
850,79.0,601.0,0.0,3.0,12.0,586.0,Adams,9954,"Liberty township, Adams County, Pennsylvania"
930,536.0,2048.0,36.0,20.0,78.0,1914.0,Adams,10140,"Littlestown borough, Adams County, Pennsylvania"
912,607.0,1444.0,98.0,50.0,178.0,1118.0,Adams,10143,"McSherrystown borough, Adams County, Pennsylvania"
902,184.0,1457.0,0.0,37.0,164.0,1256.0,Adams,9616,"Menallen township, Adams County, Pennsylvania"
1043,198.0,1605.0,0.0,0.0,15.0,1590.0,Adams,9618,"Mount Joy township, Adams County, Pennsylvania"
998,329.0,1986.0,0.0,0.0,54.0,1932.0,Adams,9734,"Mount Pleasant township, Adams County, Pennsylvania"
809,374.0,847.0,0.0,20.0,84.0,743.0,Adams,9483,"New Oxford borough, Adams County, Pennsylvania"
1190,583.0,2394.0,87.0,65.0,73.0,2169.0,Adams,9496,"Oxford township, Adams County, Pennsylvania"
950,165.0,2369.0,19.0,0.0,59.0,2291.0,Adams,9923,"Reading township, Adams County, Pennsylvania"
825,373.0,1766.0,43.0,29.0,129.0,1565.0,Adams,9757,"Straban township, Adams County, Pennsylvania"
932,138.0,847.0,0.0,6.0,9.0,832.0,Adams,10185,"Tyrone township, Adams County, Pennsylvania"
